gene_id	Sample7	Sample12	Sample6	Sample17	Sample10	Sample19	Sample16	Sample15	Sample21	Sample18	Sample11	Sample13	Sample20	Sample3	Sample1	Sample5	Sample2	Sample23	Sample14	Sample8	Sample24	Sample9	Sample4	Sample22
ENSMUSG00000087504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082152	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1
ENSMUSG00000093242	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000059005	1163	875	914	914	1048	1100	1115	1110	1339	1025	991	1045	1169	1115	1420	882	1141	796	930	1408	1006	1324	1275	883
ENSMUSG00000015839	13161	13519	12163	14829	14357	14713	17634	12707	17120	17666	13732	10480	14970	11138	13323	11821	10125	14259	9733	15940	17042	13612	16401	17164
ENSMUSG00000089015	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087222	11	14	22	30	23	15	28	13	20	46	16	12	13	13	22	19	18	19	17	19	32	8	32	47
ENSMUSG00000087527	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0
ENSMUSG00000086813	16	36	24	31	26	21	38	14	17	34	32	29	17	9	16	20	19	28	16	22	27	18	34	30
ENSMUSG00000081833	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	2	0	1	0	1	0
ENSMUSG00000082187	0	1	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000042410	6193	5064	5660	5649	6090	7155	6885	8090	8913	6999	5468	7346	7362	6576	8029	5246	5945	4921	6276	7919	6053	6461	7260	5969
ENSMUSG00000075273	409	617	609	777	692	542	903	664	663	964	608	580	592	499	605	625	435	700	530	567	879	448	844	900
ENSMUSG00000075272	0	2	1	8	1	1	5	4	2	4	6	0	0	0	0	1	1	5	1	1	5	3	8	7
ENSMUSG00000075271	114	208	226	244	226	155	258	150	137	263	200	158	166	153	191	210	144	213	123	179	243	115	269	265
ENSMUSG00000075270	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042369	1589	1982	1694	1909	2038	1762	2252	1920	2013	2320	1927	1587	1876	1805	2043	1651	1669	1799	1536	1851	2056	1668	2414	2270
ENSMUSG00000042359	423	401	358	401	410	600	439	754	675	577	358	547	611	512	619	295	490	366	512	533	477	486	472	491
ENSMUSG00000092825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002731	999	1718	1381	1904	1823	999	2195	1107	1154	2134	1817	931	1085	1049	1284	1522	1007	2058	891	1164	2358	1014	1959	2418
ENSMUSG00000075267	6	1	2	6	1	6	2	7	3	3	2	2	1	3	3	5	5	1	5	8	5	1	4	4
ENSMUSG00000002732	218	257	225	235	286	196	287	238	232	287	272	180	225	253	265	259	225	261	176	275	276	206	307	299
ENSMUSG00000002733	1531	1303	1392	1345	1407	1535	1632	1672	1815	1570	1312	1515	1709	1480	1830	1335	1394	1095	1315	1925	1362	1549	1727	1259
ENSMUSG00000051747	6	7	3	10	11	6	9	15	6	12	8	6	6	8	10	6	5	4	8	11	6	12	6	7
ENSMUSG00000086354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044033	148	373	348	279	404	113	310	111	121	343	415	119	121	165	194	325	129	311	91	191	353	151	466	319
ENSMUSG00000105724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042272	2802	3291	2928	3831	3810	3262	4322	3646	3805	4317	3534	3038	3466	3053	3581	2808	2767	4201	2838	3462	5079	2949	4085	5100
ENSMUSG00000084087	1	0	1	2	1	2	1	2	0	2	1	3	3	1	1	0	1	4	0	0	1	1	1	1
ENSMUSG00000081611	3	5	2	3	12	4	8	3	13	6	6	5	4	6	4	10	7	3	11	3	11	2	15	5
ENSMUSG00000085277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082006	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027016	4	2	4	2	3	1	5	1	5	2	2	2	0	3	2	1	3	2	5	5	2	1	1	3
ENSMUSG00000085845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027014	1403	1341	1127	1397	1427	1424	1536	1548	1600	1552	1323	1301	1461	1447	1739	1126	1387	1262	1287	1579	1438	1402	1587	1529
ENSMUSG00000081719	3	1	1	1	2	0	0	5	3	0	0	0	3	1	0	2	0	1	2	0	0	2	5	1
ENSMUSG00000085431	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0
ENSMUSG00000054510	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000082701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082046	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084101	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0
ENSMUSG00000027011	1678	1572	1576	1228	1871	1394	1427	1683	1734	1546	1780	1355	1602	1677	2198	1489	1593	1347	1200	2171	1556	1762	1872	1630
ENSMUSG00000102286	0	0	2	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000083950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083691	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	1
ENSMUSG00000027009	1	2	2	2	1	1	2	2	1	2	1	0	1	5	5	0	4	7	0	5	4	3	1	6
ENSMUSG00000075256	3	3	5	4	11	7	7	2	3	9	5	3	4	4	1	4	3	7	5	2	9	0	2	3
ENSMUSG00000088915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027007	3234	2176	1943	2302	2266	3608	2690	2962	4108	2864	2127	2441	3672	2763	3104	2062	2316	2045	2226	3755	2412	3307	2836	2564
ENSMUSG00000034683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050114	1	1	4	3	1	0	2	2	3	3	1	1	3	0	2	0	4	8	1	1	3	2	7	3
ENSMUSG00000027006	8102	9315	8904	8077	10229	8236	9521	8836	9932	9660	9585	7855	8345	8835	10700	8416	8081	8308	7201	10062	10040	8439	11534	9820
ENSMUSG00000085921	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000027004	2	1	1	0	6	0	0	1	0	0	3	2	1	5	6	4	1	1	0	6	2	2	3	0
ENSMUSG00000082494	1	0	4	0	0	1	0	1	1	2	0	0	1	2	1	0	0	0	0	0	0	0	0	1
ENSMUSG00000027002	13211	12888	12922	13121	14569	13370	15099	14572	16506	15533	13407	12918	13731	13973	16804	11989	12796	11849	11230	16382	14052	13438	16911	14070
ENSMUSG00000081487	1	1	0	0	0	0	1	3	1	1	0	1	3	2	1	1	2	0	0	1	1	3	0	3
ENSMUSG00000064669	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ENSMUSG00000083284	0	5	3	0	4	3	3	4	4	4	2	1	2	1	1	10	3	3	0	5	3	2	6	5
ENSMUSG00000027001	210	300	271	284	337	222	362	268	284	341	271	218	247	239	302	265	256	287	232	299	380	236	364	390
ENSMUSG00000026999	322	201	184	218	213	382	240	414	417	256	195	318	390	357	393	196	306	175	322	410	191	311	249	178
ENSMUSG00000106252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086436	1	0	0	2	1	0	0	0	0	2	0	0	5	0	1	0	0	0	1	0	1	0	0	0
ENSMUSG00000077404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064193	0	1	0	1	0	1	0	3	0	1	0	0	3	1	3	0	2	0	0	0	2	0	1	0
ENSMUSG00000065141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084107	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084297	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070866	3	0	1	0	1	2	0	0	2	0	1	0	1	4	1	0	2	1	1	3	0	2	0	0
ENSMUSG00000082666	1	0	0	0	2	1	2	3	1	1	1	3	0	1	1	0	0	0	1	0	0	0	2	0
ENSMUSG00000087061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080979	0	0	1	0	1	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000083804	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1
ENSMUSG00000081122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081400	10	7	7	11	21	9	14	19	15	7	19	6	26	8	15	16	3	12	16	10	14	11	19	19
ENSMUSG00000083291	1	2	3	2	1	0	1	1	0	3	0	0	2	0	1	1	1	1	0	1	2	1	0	3
ENSMUSG00000080925	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000027091	3321	3033	2992	3116	3221	3243	3770	3482	4111	3642	3212	2892	3549	3290	3768	2776	3026	2680	2811	3993	3374	3279	3961	3290
ENSMUSG00000085450	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027087	6103	6310	7230	7021	7458	6828	8643	6226	8606	8617	6687	5526	7078	5399	6324	6321	4517	5667	4634	7506	7171	6419	9780	7349
ENSMUSG00000085335	1	0	1	1	1	0	0	0	0	0	0	2	1	0	0	2	1	0	0	2	1	0	5	1
ENSMUSG00000081801	0	0	1	0	1	2	1	0	2	2	0	1	0	2	0	1	0	1	1	1	0	3	3	0
ENSMUSG00000048388	73	41	31	9	65	23	6	8	30	6	35	17	16	59	80	31	58	8	11	96	11	70	45	6
ENSMUSG00000034552	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059588	17	16	18	12	20	10	12	16	15	10	8	17	20	9	13	14	13	6	9	10	10	13	13	5
ENSMUSG00000027082	773	1010	911	1178	1024	975	1422	1176	1200	1414	1024	993	1144	810	1018	948	749	1206	951	1015	1366	818	1257	1378
ENSMUSG00000087362	13	10	10	12	8	8	16	10	6	14	11	11	9	9	21	14	8	10	13	9	9	11	13	12
ENSMUSG00000034101	3124	4368	4489	4299	4765	3186	5535	3500	3643	5088	4357	2976	3165	3469	3979	4374	3077	3691	2515	4032	4651	3387	6094	4696
ENSMUSG00000101645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086598	2	3	5	2	7	9	5	2	7	4	5	7	2	3	5	1	8	1	5	9	5	2	3	3
ENSMUSG00000076437	893	556	435	471	581	930	540	1050	1082	625	486	881	1024	980	1118	449	949	467	820	1024	543	898	680	554
ENSMUSG00000050043	859	845	758	882	893	1064	1072	1216	1252	1041	845	958	1137	933	1191	783	896	780	952	1040	955	827	1062	965
ENSMUSG00000027080	1827	1734	1697	1846	1885	1911	2227	2388	2392	2192	1703	1948	2120	2007	2478	1630	1987	1651	1805	2329	2031	1983	2158	1970
ENSMUSG00000034075	5711	5200	5037	5619	5716	6589	6484	6874	7580	6552	5259	5885	6782	6026	6914	5158	5552	4736	5424	6826	5666	5757	7047	5793
ENSMUSG00000077382	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	1	1	0
ENSMUSG00000099206	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000027079	898	842	799	823	947	907	991	1076	1049	962	873	840	995	983	1213	779	925	808	818	1044	954	898	1109	916
ENSMUSG00000034059	81	167	154	277	161	87	300	121	98	290	161	99	89	85	101	147	88	284	116	76	321	86	233	348
ENSMUSG00000065484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097187	37	45	44	52	56	55	64	57	47	79	49	69	69	44	69	48	45	40	34	63	74	51	56	66
ENSMUSG00000023224	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0
ENSMUSG00000027078	85	152	134	161	139	87	183	104	92	205	153	75	101	107	122	148	93	127	90	99	174	78	194	178
ENSMUSG00000027077	0	0	1	0	0	2	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ENSMUSG00000027076	495	579	448	555	532	481	593	537	549	647	541	426	516	465	570	485	444	496	437	537	622	504	616	625
ENSMUSG00000027075	4	6	4	1	10	3	1	0	1	1	9	0	0	3	9	7	4	1	0	4	3	5	7	0
ENSMUSG00000050896	2	1	0	0	2	1	0	4	1	0	1	4	2	5	4	1	1	0	1	3	0	1	0	2
ENSMUSG00000092843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027074	802	318	364	491	343	1456	579	1661	1651	566	303	1358	1464	856	1027	332	835	451	1388	886	541	737	448	506
ENSMUSG00000027073	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000027072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027071	6	6	6	13	9	4	6	4	8	11	3	6	6	13	8	3	7	8	12	6	9	6	11	8
ENSMUSG00000027067	16670	11867	9836	10237	12635	18425	12263	20245	20204	12010	11783	16812	19184	18678	21690	10167	16999	9786	16168	19977	11779	16899	13868	11979
ENSMUSG00000033955	12032	14723	12135	14984	15831	14544	16718	14325	15095	17574	13982	11805	14570	12681	14694	13256	11478	13944	10831	13857	16484	12573	17615	18108
ENSMUSG00000086969	1	3	1	3	1	1	3	3	4	7	2	2	4	7	7	6	4	2	2	4	0	4	1	3
ENSMUSG00000044338	5	6	8	6	12	1	6	3	5	15	11	4	1	5	10	9	1	17	2	5	16	2	11	16
ENSMUSG00000082534	0	1	0	0	1	1	1	1	4	0	0	0	0	2	0	0	1	3	3	0	0	0	0	1
ENSMUSG00000085135	4	15	17	20	21	1	19	4	8	21	28	6	6	4	7	16	5	14	2	4	41	8	17	30
ENSMUSG00000075224	0	8	2	3	3	1	3	1	4	12	2	4	1	0	1	4	1	12	2	2	12	2	3	9
ENSMUSG00000086905	0	0	0	4	0	0	2	0	1	3	1	1	0	0	0	1	0	1	0	0	3	0	0	3
ENSMUSG00000085025	3	2	1	3	1	2	7	0	3	3	2	0	1	0	0	0	2	8	1	0	6	0	2	7
ENSMUSG00000081014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000053287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083029	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000043892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111834	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000075206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043267	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000045392	4	8	1	1	7	1	4	3	4	6	8	1	1	2	3	6	2	4	2	2	5	5	4	10
ENSMUSG00000102091	1	3	1	1	3	0	2	0	0	0	3	0	1	2	0	4	1	3	0	0	0	0	0	2
ENSMUSG00000083418	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099820	0	1	0	1	1	0	1	0	3	3	2	2	0	0	1	0	1	0	0	0	0	1	0	2
ENSMUSG00000075205	1	0	3	2	0	0	1	0	0	0	0	2	1	1	0	3	1	2	0	0	4	2	3	2
ENSMUSG00000083594	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000050577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000075198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000075195	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
